1	0	30
2	678	99
3	1431	27
4	1043	80
5	684	13
6	240	138
7	192	124
8	79	110
9	294	97
10	549	21
11	281	4
12	945	88
13	149	50
14	828	68
15	168	325
16	117	144
17	259	53
18	92	19
19	356	100
20	1062	10
21	346	6
22	1892	385
23	162	20
24	640	135
25	237	23
26	1799	72
27	248	23
28	190	91
29	1418	156
30	665	379
31	272	227
32	4	92
33	100	132
34	890	8
35	1174	159
36	987	57
37	149	260
38	1282	20
39	1185	127
40	1173	22
41	180	110
42	287	61
43	492	43
44	1893	8
45	1337	127
46	790	131
47	373	91
48	528	132
49	273	320
50	1436	121
51	613	15
52	1056	47
53	4	57
54	1479	157
55	1484	68
56	218	79
57	4	98
58	2	86
59	1602	285
60	514	27
61	865	83
62	85	185
63	1631	358
64	655	27
65	773	277
66	103	43
67	1769	12
68	1601	180
69	2105	87
70	364	135
71	177	86
72	903	24
73	351	59
74	2235	54
75	4	35
76	2	3
77	503	13
78	281	360
79	204	207
80	417	72
81	285	219
82	269	6
83	2543	31
84	179	109
85	1337	8
86	2797	19
87	1691	2
88	1344	132
89	720	8
90	582	68
91	815	58
92	2068	179
93	183	190
94	96	29
95	136	43
96	1016	628
97	729	125
98	1895	110
99	523	278
100	1256	125
101	852	66
102	287	114
103	552	16
104	345	80
105	1045	258
106	174	35
107	576	132
108	336	60
109	68	60
110	2213	69
111	1480	5
112	2061	7
113	1353	189
114	532	51
115	158	22
116	1104	9
117	1825	254
118	873	35
119	1406	145
120	68	35
121	1397	3
122	1367	28
123	428	36
124	192	97
125	1110	17
126	507	83
127	570	177
128	1487	57
129	604	6
130	69	147
131	575	34
132	1946	18
133	576	110
134	163	98
135	1350	35
136	1292	16
137	1345	148
138	68	57
139	1122	102
140	409	2
141	102	111
142	2029	35
143	2447	279
144	3302	3
145	3685	120
146	244	124
147	375	333
148	160	40
149	184	94
150	430	313
151	763	31
152	474	402
153	70	7
154	92	102
155	353	152
156	542	33
157	852	98
158	1188	118
159	1035	131
160	244	14
161	1784	22
162	315	164
163	980	340
164	70	49
165	887	260
166	108	231
167	71	139
168	68	91
169	1212	20
170	1327	122
171	910	5
172	426	168
173	958	10
174	1305	191
175	965	254
176	95	111
177	3143	324
178	3157	186
179	2184	103
180	1125	55
181	2130	166
182	3183	155
183	2183	147
184	1124	57
185	3183	196
186	64	15
187	63	14
188	63	1
189	1122	68
190	4123	277
191	64	12
192	2184	89
193	2124	179
194	1126	33
195	66	6
196	2156	170
197	1078	54
198	1078	33
199	1109	78
200	4	34
201	2	1
202	8129	473
203	4139	241
204	1079	93
205	1078	43
206	1078	91
207	1079	87
208	10080	632
209	1078	43
210	1079	67
211	1078	88
212	1095	19
213	4	12
214	1090	99
215	4	8
216	1075	40
217	1110	68
218	4	6
219	2	12
220	1076	47
221	5486	39
222	70	39
223	67	150
224	68	30
225	3134	298
226	2130	142
227	65	5
228	1124	24
229	1125	69
230	65	26
231	2126	130
232	1140	56
233	1120	86
234	1126	69
235	3309	193
236	1175	81
237	1122	83
238	1124	22
239	64	31
240	7240	420
241	1079	90
242	3156	163
243	4	7
